Rider,Team,Points,Cost
Phil Bauhaus,Bahrain Merida Pro Cycling Team,0,8
Pieter Weening,Roompot - Charles,0,6
Rafa? Majka,BORA - hansgrohe,0,10
Rémy Mertz,Lotto Soudal,0,4
Ricardo Vilela,Burgos-BH,0,6
Riccardo Zoidl,CCC Team,0,6
Richard Carapaz,Movistar Team,0,10
Richie Porte,Trek - Segafredo,0,14
Robert Power,Team Sunweb,0,6
Rodrigo Contreras,Astana Pro Team,0,4
Romain Bardet,AG2R La Mondiale,0,18
Rory Sutherland,UAE-Team Emirates,0,4
Rui Oliveira,UAE-Team Emirates,0,4
Ryan Gibbons,Team Dimension Data,0,6
Sander Armée,Lotto Soudal,0,4
Sebastián Henao,Team Sky,0,6
Sébastien Reichenbach,Groupama - FDJ,0,8
Sepp Kuss,Team Jumbo-Visma,0,6
Simon Geschke,CCC Team,0,6
Simon Špilak,Team Katusha - Alpecin,0,8
Simon Yates,Mitchelton-Scott,0,24
Simone Petilli,UAE-Team Emirates,0,4
Steff Cras,Team Katusha - Alpecin,0,4
Steve Morabito,Groupama - FDJ,0,4
Steven Kruijswijk,Team Jumbo-Visma,0,16
Tanel Kangert,EF Education First Pro Cycling Team,0,6
Tejay Van Garderen,EF Education First Pro Cycling Team,0,8
Thibaut Pinot,Groupama - FDJ,0,18
Thomas De Gendt,Lotto Soudal,0,6
Thomas Degand,Wanty - Groupe Gobert,0,4
Tobias Ludvigsson,Groupama - FDJ,0,4
Tom Leezer,Team Jumbo-Visma,0,4
Tony Gallopin,AG2R La Mondiale,0,8
Tsgabu Grmay,Mitchelton-Scott,0,6
Valerio Agnoli,Bahrain Merida Pro Cycling Team,0,4
Warren Barguil,Arkéa Samsic,0,10
Wilco Kelderman,Team Sunweb,0,12
Will Clarke,Trek - Segafredo,0,4
Xandro Meurisse,Wanty - Groupe Gobert,0,6
