Rider,Team,Points,Cost
Jérôme Cousin,Direct Energie,0,6
Pim Ligthart,Direct Energie,0,6
Tosh Van Der Sande,Lotto Soudal,0,6
Brandon Mcnulty,Rally UHC Cycling,0,6
Matteo Badilatti,Swiss Cycling Team,0,6
Ben King,Team Dimension Data,0,6
Floris De Tier,Team Jumbo-Visma,0,6
Paul Ourselin,Direct Energie,0,4
Bruno Armirail,Groupama - FDJ,0,4
Adam Hansen,Lotto Soudal,0,4
Enzo Wouters,Lotto Soudal,0,4
Svein Tuft,Rally UHC Cycling,0,4
Jay Robert Thomson,Team Dimension Data,0,4
Reto Hollenstein,Team Katusha - Alpecin,0,4
Sebastián Henao,Team Sky,0,6
Sébastien Reichenbach,Groupama - FDJ,0,8
Sepp Kuss,Team Jumbo-Visma,0,6
Simon Geschke,CCC Team,0,6
Simon Špilak,Team Katusha - Alpecin,0,8
Simon Yates,Mitchelton-Scott,0,24
Simone Petilli,UAE-Team Emirates,0,4
Steff Cras,Team Katusha - Alpecin,0,4
Steve Morabito,Groupama - FDJ,0,4
Steven Kruijswijk,Team Jumbo-Visma,0,16
Tanel Kangert,EF Education First Pro Cycling Team,0,6
Tejay Van Garderen,EF Education First Pro Cycling Team,0,8
Thibaut Pinot,Groupama - FDJ,0,18
Thomas De Gendt,Lotto Soudal,0,6
Thomas Degand,Wanty - Groupe Gobert,0,4
Tobias Ludvigsson,Groupama - FDJ,0,4
Tom Leezer,Team Jumbo-Visma,0,4
Tony Gallopin,AG2R La Mondiale,0,8
Tsgabu Grmay,Mitchelton-Scott,0,6
Valerio Agnoli,Bahrain Merida Pro Cycling Team,0,4
Warren Barguil,Arkéa Samsic,0,10
Wilco Kelderman,Team Sunweb,0,12
Will Clarke,Trek - Segafredo,0,4
Xandro Meurisse,Wanty - Groupe Gobert,0,6
