Pos.,RiderByFirstName,Team,Points,GC Ranking position
119,Maxime MONFORT,Lotto Soudal,42,517
120,Amaël MOINARD,Team Arkéa Samsic,41,523
121,Rory SUTHERLAND,UAE-Team Emirates,40,531
122,Óscar CABEDO,Burgos-BH,40,533
123,Jay MCCARTHY,BORA - hansgrohe,38,549
124,Kévin LEDANOIS,Team Arkéa Samsic,37,564
125,Robert POWER,Team Sunweb,37,563
126,Jan BAKELANTS,Team Sunweb,36,581
127,Eros CAPECCHI,Deceuninck - Quick Step,35,592
128,Antoine DUCHESNE,Groupama - FDJ,35,582
129,Marco MINNAARD,Wanty - Groupe Gobert,35,586
130,Jarlinson PANTANO,Trek - Segafredo,34,599
131,Domingos GONÇALVES,Caja Rural - Seguros RGA,34,600
132,Phil BAUHAUS,Bahrain Merida,34,607
133,Ben GASTAUER,AG2R La Mondiale,33,615
134,Grega BOLE,Bahrain Merida,31,630
135,Álvaro José HODEG,Deceuninck - Quick Step,31,629
136,Maurits LAMMERTINK,Roompot - Charles,30,636
137,Luis Ángel MATÉ,"Cofidis, Solutions Crédits",30,646
138,Rodrigo CONTRERAS,Astana Pro Team,28,659
139,Floris DE TIER,Team Jumbo-Visma,28,676
140,Lennard HOFSTEDE,Team Jumbo-Visma,28,665
141,Christian KNEES,Team Sky,26,698
142,Jonas GREGAARD,Astana Pro Team,25,727
143,José FERNANDES,Burgos-BH,25,703
144,Esteban CHAVES,Mitchelton-Scott,25,745
145,Rémy MERTZ,Lotto Soudal,25,717
146,Antonio NIBALI,Bahrain Merida,24,771
147,Anthony DELAPLACE,Team Arkéa Samsic,24,766
148,Jorge CUBERO,Burgos-BH,23,781
149,Nelson Andrés SOTO,Caja Rural - Seguros RGA,20,830
150,Erik BAŠKA,BORA - hansgrohe,18,863
151,Harm VANHOUCKE,Lotto Soudal,18,881
152,Lennard KÄMNA,Team Sunweb,17,905
153,Will CLARKE,Trek - Segafredo,16,929
